Category,Category_n,protected,on_island,plantation,Region,area,perimeter,x,y
"1",Top,NO,NO,NO,Africa,0.000404740775446,0.071326762647375,20.8730664621,-1.2351921151
"1",Top,NO,NO,NO,Africa,0.000404917388877,0.071342335834856,20.3650580160,-2.0461384770
"1",Top,NO,NO,NO,Africa,0.000404828603628,0.071334417609478,24.6781971621,-1.6458487081
"1",Top,NO,NO,NO,Africa,0.000404630872876,0.071317083260581,26.1503649490,-0.0860166303
"1",Top,NO,NO,NO,Africa,0.000404663482286,0.071319911786651,16.7680407371,-0.1958795199
"1",Top,NO,NO,NO,Africa,0.000404641824939,0.071318013214911,12.6591542067,-0.2178521353
"1",Top,NO,NO,NO,Africa,0.000405251231189,0.071371697787253,20.7450917302,-3.0728235776
"1",Top,NO,NO,NO,Africa,0.000404684438529,0.071321838904397,27.0182848404,-0.7012334598
"1",Top,NO,NO,NO,Africa,0.000404970772422,0.071347048473865,24.3046619046,2.2469854795
"1",Top,NO,NO,NO,Africa,0.000405008714150,0.071350321626430,16.5593006541,2.3567601724
"1",Top,NO,NO,NO,Africa,0.000404784858986,0.071330598450031,12.7580310774,1.5113023201
"1",Top,NO,NO,NO,Africa,0.000404915040786,0.071342106052541,12.3357079752,-2.0408896389
"1",Top,NO,NO,NO,Africa,0.000404687604449,0.071322046589052,10.9459380254,-0.7998403174
"1",Top,NO,NO,NO,Africa,0.000405065767785,0.071355385351101,10.3232155194,-2.5663019818
"1",Top,NO,NO,NO,Africa,0.000405536927857,0.071396887452170,20.7631349689,-3.7717932144
"1",Top,NO,NO,NO,Africa,0.000405509221963,0.071394448910150,19.6150641509,-3.7334236142
"1",Top,NO,NO,NO,Africa,0.000405062103876,0.071355076387726,22.4044042363,-2.5493824937
"1",Top,NO,NO,NO,Africa,0.000406711312049,0.071500478652787,-7.1297275501,5.7649730893
"1",Top,NO,NO,NO,Africa,0.000406444301479,0.071476900845604,-8.5483375103,5.3685977938
"1",Top,NO,NO,NO,Africa,0.000406409184183,0.071473899212035,-7.0398058604,5.3196362502
"1",Top,NO,NO,NO,Australia,0.000508560555318,0.080735861277602,146.6388311397,-37.2799126680
"1",Top,NO,NO,NO,Australia,0.000481376381003,0.078226434483314,122.4264596935,-32.7927680121
"1",Top,NO,NO,NO,Australia,0.000484117667384,0.078478417518686,123.4857073599,-33.2983443301
"1",Top,NO,NO,NO,Australia,0.000483751020056,0.078444681365426,123.5422774811,-33.2285774262
"1",Top,YES,NO,NO,Australia,0.000484399471588,0.078504256971468,123.9074815303,-33.3471878441
"1",Top,NO,NO,NO,Australia,0.000405926776722,0.071431299620820,102.1030224318,4.5469897880
"1",Top,NO,NO,NO,Australia,0.000415751141190,0.072300298529855,105.5015855494,13.2633289930
"1",Top,NO,NO,NO,Australia,0.000453300763184,0.075666706167025,97.2553329848,26.7851523033
"1",Top,YES,NO,NO,Australia,0.000421500358925,0.072811237980629,101.7400361671,16.2580941506
"1",Top,NO,NO,NO,Australia,0.000424337502864,0.073063980487021,106.0342820155,17.5215976216
"1",Top,NO,NO,NO,EastAsia,0.000458299728052,0.076120029133929,100.0488189102,28.0022264453
"1",Top,NO,NO,NO,EastAsia,0.000458178044028,0.076109195866379,100.0007538765,27.9731222224
"1",Top,NO,NO,NO,EastAsia,0.000458582731198,0.076145799090704,100.5789092919,28.0688944109
"1",Top,NO,NO,NO,EastAsia,0.000458619140318,0.076149114311451,99.5860202099,28.0749530287
"1",Top,NO,NO,NO,EastAsia,0.000457567608692,0.076053751225171,98.9358839360,27.8291324577
"1",Top,NO,NO,NO,EastAsia,0.000457521806084,0.076049231568899,98.9317635590,27.8145581709
"1",Top,NO,NO,NO,EastAsia,0.000457984729564,0.076091458519894,99.1075449338,27.9262459805
"1",Top,NO,NO,NO,EastAsia,0.000458254242176,0.076115655341430,99.1569834867,27.9844721087
"1",Top,NO,NO,NO,EastAsia,0.000458130537709,0.076104585289451,99.0471202876,27.9590022605
"1",Top,NO,NO,NO,EastAsia,0.000456933006262,0.075995909232440,99.6074230910,27.6747866402
"1",Top,NO,NO,NO,EastAsia,0.000455577790945,0.075872921296023,98.9747615376,27.3471236502
"1",Top,NO,NO,NO,EastAsia,0.000455319786397,0.075849827207313,98.9836883450,27.2903878348
"1",Top,NO,NO,NO,EastAsia,0.000455477479818,0.075864268030099,99.7863768121,27.3282147546
"1",Top,NO,NO,NO,EastAsia,0.000454495306030,0.075775091656481,98.8153832828,27.0855005800
"1",Top,NO,NO,NO,EastAsia,0.000462335153316,0.076486947424410,101.1100683461,28.9316728158
"1",Top,NO,NO,NO,EastAsia,0.000466663623683,0.076880968385959,95.0648412647,29.8767956525
"1",Top,NO,NO,NO,EastAsia,0.000462981899318,0.076545376565447,94.4578466313,29.0709993343
"1",Top,NO,NO,NO,EastAsia,0.000461393942942,0.076401160763229,101.4955757471,28.7171004302
"1",Top,NO,NO,NO,EastAsia,0.000461470408027,0.076408049689250,101.4733458946,28.7321753603
"1",Top,NO,NO,NO,EastAsia,0.000461221956812,0.076385362836360,101.5441902806,28.6724129243
"1",Top,NO,NO,NO,Europe,0.000576750863047,0.087150637660099,22.6195204192,45.4422674682
"1",Top,NO,NO,NO,Europe,0.000574808988802,0.086966260037594,22.4629652785,45.2540644379
"1",Top,YES,NO,NO,Europe,0.000895041421927,0.118646000678914,13.1762318396,63.1213322720
"1",Top,NO,NO,NO,Europe,0.001035032783079,0.133025937913902,20.3209737205,66.9856618378
"1",Top,NO,NO,NO,Europe,0.001076739101677,0.137353435532081,22.0029609731,67.9255048052
"1",Top,NO,NO,NO,Europe,0.001096847368558,0.139446265690924,28.2959043170,68.3507870823
"1",Top,NO,NO,NO,Europe,0.001014189608668,0.130872948753129,30.2869413425,66.4846646221
"1",Top,NO,NO,NO,Europe,0.000559233794547,0.085488168679083,40.3814698460,43.6503576445
"1",Top,NO,NO,NO,Europe,0.000978987742656,0.127240831954204,42.7391936577,65.5850310645
"1",Top,NO,NO,NO,Europe,0.000935316754294,0.122760541246037,47.0531619653,64.3653831269
"1",Top,NO,NO,NO,Europe,0.000963152914892,0.125613194668415,49.2914487368,65.1570308406
"1",Top,YES,NO,NO,Europe,0.001006441731192,0.130074264301852,29.9520865078,66.2931465386
"1",Top,YES,NO,NO,Europe,0.001032763032072,0.132791959805889,18.1802104555,66.9321030412
"1",Top,NO,NO,NO,Europe,0.001030427240039,0.132551121942357,36.6813448905,66.8772548482
"1",Top,NO,NO,NO,Europe,0.001032398702819,0.132754970785698,35.9370210823,66.9241285571
